Date,sentiment,sentiment_pos,sentiment_neu,sentiment_neg,Open,High,Low,Close,Volume,SMA_5,SMA_10,EMA_5,EMA_10,MACD,RSI,OBV
2001-01-02,-0.8627,0.102,0.746,0.152,3953.22,4028.57,3929.37,4018.88,21200.0,4099.686,4078.185,4073.475339062618,4095.9302446723777,-38.27433751089848,28.270803060277657,-84180800.0
2001-01-03,0.7184,0.128,0.774,0.098,3977.58,4067.66,3977.58,4060.02,21200.0,4120.972,4083.37,4100.773008593927,4113.05252126624,-32.54069556248669,28.854779050444023,-84159600.0
2001-01-04,0.6369,0.099,0.807,0.094,4180.97,4180.97,4109.55,4115.37,21200.0,4118.496,4085.709,4121.14951289089,4124.83752599207,-28.937964267423013,30.239134098612357,-84138400.0
2001-01-05,0.9643,0.197,0.681,0.121,4116.34,4195.01,4115.35,4183.73,21200.0,4100.848,4085.493,4124.039269336336,4126.941420656975,-29.55428957056029,34.397699435509566,-84117200.0
2001-01-08,-0.9571,0.036,0.81,0.153,4164.76,4206.72,4101.53,4120.43,21200.0,4071.418,4086.566,4094.193904004504,4114.321736358525,-36.871355109175056,38.62694300518143,-84138400.0
2001-01-09,-0.9684,0.062,0.775,0.164,4114.74,4166.84,4101.01,4125.31,21200.0,4056.684,4101.234,4081.0758560067543,4112.964344438198,-39.22918995869077,30.55376030517512,-84117200.0
2001-01-10,-0.5719,0.0,0.719,0.281,4151.58,4155.86,4035.44,4047.64,21200.0,4045.768,4118.372,4058.9587840101312,4110.220865424464,-42.16491094903813,26.822138063916,-84138400.0
2001-01-23,0.926,0.11,0.854,0.036,4277.83,4321.75,4272.87,4296.69,21200.0,4311.987999999999,4327.079,4311.895089201954,4319.442381263992,64.62106063457668,44.821612510534656,-83990000.0
2001-01-24,-0.8658,0.064,0.814,0.122,4320.51,4339.41,4295.71,4326.42,21200.0,4317.994000000001,4328.703,4319.49763380293,4324.498465989323,71.99644826984604,46.99788894889296,-83968800.0
2001-01-25,-0.8658,0.102,0.768,0.13,4327.84,4341.33,4273.7,4330.22,21200.0,4309.932000000001,4334.18,4316.036450704394,4324.071458431396,77.33584924039133,42.100710987319545,-83947600.0
2001-01-29,0.9674,0.165,0.781,0.054,4158.86,4262.76,4158.86,4234.57,21200.0,4314.34,4340.8910000000005,4308.944676056591,4322.705115860595,82.6390723083914,43.10327441404843,-83968800.0
2001-01-30,-0.7269,0.093,0.78,0.127,4269.41,4373.22,4256.76,4372.04,21200.0,4341.52,4358.064,4346.132014084886,4342.290697162949,97.9447996088793,51.85345649273004,-83947600.0
2001-01-31,0.5994,0.113,0.794,0.093,4367.58,4409.33,4322.68,4326.72,21200.0,4342.17,4357.165,4333.178021127328,4335.679740976938,102.0588762781008,46.99230028873917,-83968800.0
